Achillea millefolium
Agrimonia eupatoria
Agrostis capillaris
Ajuga reptans
Alopecurus pratensis
Anthoxanthum odoratum
Arrhenatherum elatius
Bromus erectus
Bromus hordeaceus
Campanula patula
Campanula rotundifolia
Carex hirta
Centaurea jacea
Cerastium holosteoides
Cirsium arvense
Cirsium vulgare
Clinopodium vulgare
Convolvulus arvensis
Cornus sanguinea
Crataegus monogyna
Dactylis glomerata
Daucus carota
Equisetum arvense
Festuca pratensis
Festuca rubra
Galium album
Galium odoratum
Geranium pratense
Glechoma hederacea
Heracleum sphondylium
Holcus lanatus
Hypericum perforatum
Lathyrus inconspicuus
Lathyrus pratensis
Lens culinaris
Leucanthemum ircutianum
Lotus corniculatus
Luzula campestris
Medicago
Medicago lupulina
Medicago sativa
Melilotus albus
Myosotis arvensis
Origanum vulgare
Pimpinella saxifraga
Plantago lanceolata
Poa
Poa pratensis
Potentilla anserina
Potentilla reptans
Primula veris
Prunella vulgaris
Ranunculus acris
Rumex obtusifolius
Senecio erucifolius
Lychnis flos cuculi
Sonchus asper
Taraxacum officinale agg_
Trifolium campestre
Trifolium dubium
Trifolium pratense
Trifolium repens
Tripleurospermum perforatum
Trisetum flavescens
Veronica
Veronica chamaedrys
Vicia angustifolia
Vicia sepium
Vicia tetrasperma
Viola
